Kernel,Device,Image,Run_Number,Time_Seconds,
301,GPU,images/pappagallone.jpg,1,0,50698
301,GPU,images/pappagallone.jpg,2,0,519951
301,GPU,images/pappagallone.jpg,3,0,519423
301,GPU,images/pappagallone.jpg,4,0,573239
301,GPU,images/pappagallone.jpg,5,0,498492
501,GPU,images/pappagallone.jpg,1,0,68361
501,GPU,images/pappagallone.jpg,2,0,683347
501,GPU,images/pappagallone.jpg,3,0,733916
501,GPU,images/pappagallone.jpg,4,0,620743
501,GPU,images/pappagallone.jpg,5,0,732264
701,GPU,images/pappagallone.jpg,1,0,955608
701,GPU,images/pappagallone.jpg,2,0,92564
701,GPU,images/pappagallone.jpg,3,0,956423
701,GPU,images/pappagallone.jpg,4,0,974818
701,GPU,images/pappagallone.jpg,5,0,891675
901,GPU,images/pappagallone.jpg,1,1,15436
901,GPU,images/pappagallone.jpg,2,1,10945
901,GPU,images/pappagallone.jpg,3,1,12695
901,GPU,images/pappagallone.jpg,4,1,13066
901,GPU,images/pappagallone.jpg,5,1,11317
1101,GPU,images/pappagallone.jpg,1,1,37459
1101,GPU,images/pappagallone.jpg,2,1,29531
1101,GPU,images/pappagallone.jpg,3,1,31391
1101,GPU,images/pappagallone.jpg,4,1,31554
1101,GPU,images/pappagallone.jpg,5,1,37027
1301,GPU,images/pappagallone.jpg,1,1,48923
1301,GPU,images/pappagallone.jpg,2,1,5315
1301,GPU,images/pappagallone.jpg,3,1,57028
1301,GPU,images/pappagallone.jpg,4,1,48921
1301,GPU,images/pappagallone.jpg,5,1,50845
301,GPU,images/pappagallo.jpg,1,0,113323
301,GPU,images/pappagallo.jpg,2,0,115983
301,GPU,images/pappagallo.jpg,3,0,116189
301,GPU,images/pappagallo.jpg,4,0,116046
301,GPU,images/pappagallo.jpg,5,0,11606
501,GPU,images/pappagallo.jpg,1,0,152107
501,GPU,images/pappagallo.jpg,2,0,152978
501,GPU,images/pappagallo.jpg,3,0,153097
501,GPU,images/pappagallo.jpg,4,0,153134
501,GPU,images/pappagallo.jpg,5,0,153284
701,GPU,images/pappagallo.jpg,1,0,190021
701,GPU,images/pappagallo.jpg,2,0,189931
701,GPU,images/pappagallo.jpg,3,0,189912
701,GPU,images/pappagallo.jpg,4,0,190814
701,GPU,images/pappagallo.jpg,5,0,18982
901,GPU,images/pappagallo.jpg,1,0,227352
901,GPU,images/pappagallo.jpg,2,0,226988
901,GPU,images/pappagallo.jpg,3,0,227154
901,GPU,images/pappagallo.jpg,4,0,227016
901,GPU,images/pappagallo.jpg,5,0,227333
1101,GPU,images/pappagallo.jpg,1,0,284688
1101,GPU,images/pappagallo.jpg,2,0,280211
1101,GPU,images/pappagallo.jpg,3,0,280913
1101,GPU,images/pappagallo.jpg,4,0,280112
1101,GPU,images/pappagallo.jpg,5,0,280133
1301,GPU,images/pappagallo.jpg,1,0,346677
1301,GPU,images/pappagallo.jpg,2,0,351837
1301,GPU,images/pappagallo.jpg,3,0,35143
1301,GPU,images/pappagallo.jpg,4,0,350706
1301,GPU,images/pappagallo.jpg,5,0,351119
101,GPU,images/pappagallo.jpg,1,0,0783715
101,GPU,images/pappagallo.jpg,2,0,0902696
101,GPU,images/pappagallo.jpg,3,0,0832612
101,GPU,images/pappagallo.jpg,4,0,0905113
101,GPU,images/pappagallo.jpg,5,0,0835533
201,GPU,images/pappagallo.jpg,1,0,108639
201,GPU,images/pappagallo.jpg,2,0,0988476
201,GPU,images/pappagallo.jpg,3,0,0979927
201,GPU,images/pappagallo.jpg,4,0,0994018
201,GPU,images/pappagallo.jpg,5,0,098529
101,GPU,images/pappagallone.jpg,1,0,308844
101,GPU,images/pappagallone.jpg,2,0,27733
101,GPU,images/pappagallone.jpg,3,0,318824
101,GPU,images/pappagallone.jpg,4,0,388557
101,GPU,images/pappagallone.jpg,5,0,388998
201,GPU,images/pappagallone.jpg,1,0,502888
201,GPU,images/pappagallone.jpg,2,0,5131
201,GPU,images/pappagallone.jpg,3,0,476047
201,GPU,images/pappagallone.jpg,4,0,388836
201,GPU,images/pappagallone.jpg,5,0,479785
